time,open,high,low,close
-894105000,128.31,130,125.33,126.82
-891509400,126.85,127.2,117.4,117.82
-888658200,118.87,120.34,114.1,114.66
-886239000,113.59,117.54,105.52,110.96
-883560600,112.77,114.96,108.3,109.41
-880795800,109.47,111.04,104.67,106.58
-878380200,105.75,107.16,98.32,99.53
-875788200,99.95,102.75,92.69,95.35
-873196200,95.83,101.5,95.08,100.88
-870517800,101.37,106.63,100.93,103.34
-867925800,102.69,109.49,102.27,105.72
-865074600,106.08,107.88,104.5,106.33
-862569000,106.28,109.98,105.58,109.11
-859977000,109.65,116.01,109.16,113.5
-857212200,114.68,118.18,113.46,114.5
-854706600,114.61,120.19,114.08,119.4
-852028200,120.25,125.71,118.84,125.41
-849349800,125.86,130.43,124.69,129.71
-846930600,129.44,137.2,127.91,136.57
-844252200,136.56,137.45,129.79,135.48
-841487400,137.43,141.58,136.08,141.18
-838981800,142.43,143.7,138.07,143.38
-836389800,143.58,146.41,136.72,137.25
-833625000,134,138.83,133.87,136.62
-831033000,137.12,142.5,136.37,140.12
-828441000,140.33,140.63,135.92,138.29
-825762600,138.5,138.96,128.94,129.57
-823170600,130.68,136.73,129.76,135.89
-820319400,135.92,138.89,135.51,137.4
-817813800,137.45,137.69,134.1,136.3
-815308200,136.44,141.43,135.86,138.84
-812457000,138.01,139.45,134.75,136.21
-810037800,137.06,142.44,136.18,142.24
-807359400,142.14,149.15,140.9,148.38
-804594600,149.32,150.88,145.26,146.11
-802089000,146.39,149.28,144.48,146.99
-799410600,147.16,147.47,142.53,146.31
-796732200,146.92,149.2,145.33,146.53
-794140200,146.73,148.39,145.17,147.33
-791548200,147.3,152.75,146.76,151.93
-788869800,152.58,156.68,150.53,153.67
-786191400,153.79,160.85,153.22,160.4
-783772200,160.72,162.22,151.74,154.06
-781007400,155.86,165.71,154.51,165.44
-778501800,165.09,169.53,162.6,168.3
-775823400,168.08,169.55,163.78,164.57
-773145000,165.91,167.79,159.95,162.88
-770553000,162.72,174.54,161.14,174.29
-767701800,173.9,180.8,173.23,180.11
-765279000,183.37,187.55,181.93,186.6
-762600600,188.84,192.95,186.44,191.46
-759835800,193.65,196.59,187.51,192.91
-757330200,191.66,206.59,189.77,204.67
-754651800,205.79,207.49,184.05,190.09
-752232600,189.42,201.85,186.77,199.56
-749554200,199.19,209.36,198.47,206.77
-746965800,205.67,213.36,199.26,212.28
-744114600,211.47,212.48,198.98,205.62
-741695400,206.47,208.59,194.33,201.56
-739017000,202.26,205.01,187.26,189.19
-736252200,178.68,188.21,164.09,172.42
-733743000,171.47,177.05,160.49,169.15
-731064600,171.76,175.78,162.29,169.78
-728386200,167.5,178.58,166.2,177.2
-725794200,176.39,181.34,170.13,180.44
-722943000,181.92,184.96,176.34,178.9
-720523800,179.43,182.48,171.94,177.2
-718018200,177.45,178.28,165.39,170.64
-715429800,171.91,175.08,161.38,169.25
-712665000,168,178.08,167.43,177.3
-710159400,180.33,187.66,177.48,183.18
-707481000,183.81,184.38,176.54,178.85
-704802600,179.81,180.56,174.02,177.49
-702207000,178.1,186.24,176.89,181.81
-699355800,182.65,183.97,179.3,179.51
-696936600,180.61,181.82,175.19,181.16
-694258200,181.04,181.69,170.7,174.76
-691493400,174.92,176.05,164.07,166.8
-689074200,168.14,177.61,165.03,177.2
-686395800,177.61,184.48,175.96,180.51
-683634600,181.09,192.31,179.47,190.74
-681129000,191.18,194.49,186.56,189.46
-678537000,189.03,192.38,179.58,181.33
-675772200,181.13,184.54,177.4,181.71
-673180200,183.6,185.64,175.84,178.3
-670584600,179.87,190.88,178.22,188.28
-667906200,189.76,190.45,170.35,171.2
-665314200,173.22,179.15,171.67,177.3
-662463000,175.03,182.5,174.37,179.12
-659957400,180.39,180.94,170.56,173.06
-657538200,174.18,179.19,172.59,177.1
-654859800,176.28,177.78,172.26,174.06
-652185000,174.53,177.18,168.14,168.36
-649593000,167.98,168.98,160.62,167.42
-647001000,168.08,177.04,166.94,175.92
-644322600,176.84,182.67,175.68,178.66
-641644200,179.52,184.09,177.63,182.51
-638875800,182.67,191.44,180.9,189.54
-636370200,191.23,194.35,186.98,191.55
-633778200,192.71,200.91,191.12,200.52
-631013400,198.89,202.92,193.94,201.79
-628421400,201.89,205.39,200.59,203.44
-626002200,203.62,211.22,201.14,206.05
-623151000,208.44,216.32,205.93,213.56
-620735400,215.81,224.24,214.05,223.42
-618057000,223.23,229.2,206.03,209.11
-615292200,208.35,212.19,195.4,209.4
-612786600,211.87,222.17,209.55,216.87
-610108200,218.42,228.17,217.12,226.36
-607426200,228.94,232.75,223.59,225.01
-604834200,225.69,236.63,220.59,227.6
-602242200,228.89,236.52,221.31,235.42
-599563800,239.92,250.56,234.93,248.83
-596885400,250.76,257.06,247.04,252.05
-594466200,252.8,254.42,242.06,248.53
-591701400,246.63,260.83,244.98,259.13
-589199400,260.71,264.44,241.89,249.65
-586521000,249.33,255.23,240.72,242.64
-583842600,243.98,262.21,241.06,257.86
-581250600,259.89,271.64,256.81,270.25
-578399400,270.63,277.51,269.08,271.16
-575976600,272.56,277.3,256.39,262.35
-573298200,264.06,265.82,254.91,261.27
-570533400,263.24,270,261.73,269.23
-568027800,269.86,276.26,266.34,270.69
-565349400,271.68,272.91,257.44,260.08
-562671000,260.08,270.4,258.95,269.46
-560165400,267.22,269.81,257.04,257.63
-557577000,256.35,265.17,254.7,262.94
-554812200,262.31,274.97,260.83,274.26
-552306600,275.46,280.25,271.73,279.56
-549628200,279.8,281.47,272.28,275.04
-546949800,276.1,278.16,267.08,270.61
-544354200,270.17,272.36,262.01,269.23
-541503000,270.23,284.65,268.79,283.66
-539083800,283.7,293.5,280.68,291.9
-536405400,292.14,295.03,284.29,289.77
-533640600,290.03,290.94,279.72,284.27
-531221400,284.71,291.96,277.57,279.87
-528629400,280.09,281.81,269.25,274.75
-526041000,275.66,280.01,270.65,272.28
-523362600,268.4,272.64,260.75,268.26
-520770600,269.39,275.85,266.96,275.38
-517919400,276.13,278.3,260.83,261.22
-515413800,262.54,266.61,254.36,264.04
-512818200,265.68,277.04,262.45,275.81
-510053400,276.72,282.46,273.01,281.37
-507547800,281.1,285.2,275.91,280.9
-504869400,282.89,294.56,278.91,292.39
-502191000,291.84,297.67,287.37,294.54
-499771800,296.55,305.15,294.23,303.51
-497093400,306.27,321.71,301.7,319.33
-494332200,319.35,328.93,316.45,327.49
-491826600,328.67,338.78,315.66,333.53
-489234600,334.12,349.21,330.68,347.92
-486469800,349.57,352.27,333.21,335.8
-483877800,338.13,366.02,334.97,360.46
-481282200,359.88,366.4,350.72,352.14
-478603800,353.96,391.21,350.16,386.77
-476011800,384.04,407.17,381.81,404.39
-473160600,408.89,412.47,385.65,408.83
-470655000,409.7,416.55,403.51,411.87
-468235800,413.71,421.83,387.5,409.7
-465557400,413.84,432.76,409.78,425.65
-462882600,426.3,428.27,412.6,424.86
-460290600,424.88,453.48,422.48,451.38
-457698600,453.82,471.73,449.5,465.85
-455020200,460.25,469.51,445.67,468.18
-452341800,469.63,489.94,446.74,466.62
-449577000,455.7,465.4,433.19,454.87
-447067800,454.89,490.75,452.12,483.26
-444475800,481.39,490.56,478.32,488.4
-441711000,485.78,490.92,458.21,470.74
-439119000,473.28,491.09,463.89,483.65
-436613400,486.69,515.86,483.63,511.79
-433848600,515.1,524.37,500.99,516.12
-431346600,513.96,519.8,463.85,478.05
-428668200,480.63,494.82,467.99,492.78
-425989800,491.92,519.97,488.36,517.81
-423397800,518.69,523.33,492.19,502.04
-420546600,507.66,512.68,474.23,475.25
-418127400,468.7,494.11,463.83,479.85
-415445400,487.62,500.52,460.41,472.78
-412680600,480.61,501.56,474.26,499.47
-410175000,496.03,502.57,471.06,479.16
-407496600,477.22,479.76,453.07,464.62
-405077400,468.91,477.58,463.66,474.81
-402399000,474.98,497.22,473.09,494.36
-399810600,495.76,508.87,492.29,504.93
-396959400,503.76,516.81,492.87,503.29
-394540200,503.29,523.11,500.75,508.52
-391861800,506.21,509.98,469.03,484.35
-389097000,486.13,487.59,452.19,456.3
-386591400,460.8,468.15,416.15,441.04
-383909400,434.71,452.49,425.46,449.87
-381231000,446.91,452.16,423.86,435.69
-378639000,439.27,453.63,434.37,450.02
-375787800,453.98,459.77,434.04,439.92
-373368600,443.38,457.27,439.24,446.76
-370863000,445.47,458.33,437.25,455.86
-368274600,457.01,465.32,453.84,462.7
-365509800,466.11,482.11,462.7,478.18
-363004200,478.82,508.39,472.07,502.99
-360325800,505.43,514.44,499.82,508.63
-357647400,511.77,535,508.39,532.09
-355055400,530.94,549.71,527.68,543.22
-352200600,545.16,572.05,538.43,557.46
-349781400,560.07,587.44,553.7,583.65
-347103000,587.59,601.74,580.54,593.96
-344338200,592.23,607.61,571.73,603.5
-341919000,605.03,618.8,599.21,601.71
-339327000,602.94,635.29,599.65,623.75
-336738600,625.06,647.24,611.68,643.79
-334060200,643.51,648.65,613.11,643.6
-331468200,650.88,678.67,643.6,674.88
-328617000,678.1,683.9,639.34,664.41
-326111400,655.9,664.95,613.3,631.68
-323519400,633.6,649.4,624.55,646.6
-320751000,645.46,661.23,630.99,659.18
-318245400,664.38,682.72,658.48,679.36
-315567000,679.06,688.21,619.51,622.62
-312888600,626.2,640.3,603.34,630.12
-310383000,626.87,632.65,596.2,616.59
-307704600,615.98,637.16,598.35,601.7
-305029800,599.61,631.44,596.61,625.5
-302437800,624.89,663.64,620.61,640.62
-299845800,641.3,650.1,597.3,616.73
-297167400,617.85,645.3,600.28,625.99
-294489000,626.1,630.95,565.49,580.14
-291724200,577.81,600.03,564.23,580.36
-289215000,585.24,614.09,579.43,597.22
-286623000,594.56,621.33,589.82,615.89
-283858200,610.25,655.18,606.09,648.2
-281266200,649.39,667.03,632.81,662.08
-278847000,663.03,685.32,656.36,676.63
-275995800,677.59,700.75,671.64,678.71
-273580200,677.05,714.69,672.98,696.72
-270901800,695.37,708.88,673.49,683.96
-268137000,689.81,709.75,674.8,705.37
-265631400,713.94,730.17,702.21,719.94
-262953000,721.19,733.53,688.87,701.21
-260274600,699.83,714.07,693.12,703.92
-257679000,703.84,741.3,700.12,721.6
-255087000,728.8,739.88,714.6,731.14
-252408600,724.71,734.38,686.89,700
-249730200,702.54,721.39,696.07,708.05
-247311000,711.81,727.14,703.27,706.95
-244546200,705.42,709.74,661.48,665.33
-242044200,671.24,679.2,553.75,613.36
-239365800,611.05,616.54,524.55,561.28
-236687400,573.75,601.15,557.31,597.93
-234095400,591.36,622.02,582.12,609.18
-231244200,602.45,612.44,572.16,578.98
-228825000,571.95,594.79,549.65,589.77
-226143000,597.13,655.95,582.66,649.3
-223378200,646.41,658.76,636.88,652.1
-220872600,646.79,686.91,643.57,682.85
-218194200,683.19,694.27,661.27,662.94
-215775000,659.72,687.37,656.66,682.52
-213096600,685.86,721.92,680.55,717.7
-210508200,719.67,730.43,708.16,726.96
-207657000,726.27,732.97,702.42,706.88
-205237800,701.35,719.02,684.41,695.43
-202559400,694.87,731.68,691.23,729.32
-199794600,732.02,753.04,728.63,732.79
-197289000,738.33,767.24,732.49,755.23
-194607000,753.73,759.56,710.83,750.52
-191928600,751.91,773.07,746.78,762.95
-189336600,766.08,791.63,760.34,785.34
-186485400,784.72,803.46,777.99,800.14
-184066200,802.75,824.72,798.05,813.29
-181474200,816.08,831.63,807.18,810.77
-178885800,817.1,836.06,808.55,820.56
-176207400,818.56,835.9,796.9,831.5
-173615400,838.06,855.19,829.3,841.1
-170764200,840.35,847.19,820.78,838.48
-168258600,844,880.24,836.56,875.37
-165666600,872,886.28,861.42,873.08
-162898200,875.51,897,866.8,875.43
-160392600,864.43,881.35,850.19,874.13
-157714200,869.78,907.79,865.1,902.86
-155035800,903.68,911.8,877.48,903.48
-152616600,899.76,907.88,884.68,889.05
-149938200,890.33,925.42,886.84,922.31
-147177000,922.11,944.82,904.82,918.04
-144671400,908.53,921.85,832.74,868.03
-142079400,871.59,889.98,857.71,881.74
-139314600,881.85,901.88,874.78,893.1
-136722600,893.6,944.96,886.96,930.58
-134130600,929.65,967.46,923.23,960.82
-131448600,958.96,969.98,937.24,946.71
-128856600,947.6,976.61,924.44,969.26
-126005400,968.54,1000.55,961.91,983.51
-123499800,975.89,1001.11,946.1,951.89
-121080600,938.19,955.17,905.4,924.77
-118402200,931.29,961.91,921.77,933.68
-115727400,931.95,939.64,859.13,884.07
-113135400,883.63,910.35,858.9,870.1
-110543400,877.06,901.16,843.76,847.38
-107865000,835.18,860.57,759.52,788.41
-105186600,792.09,822.93,763.36,774.22
-102421800,757.96,816.64,735.74,807.07
-99912600,809.63,827.33,784.79,791.59
-97320600,789.75,827.22,779.34,785.69
-94555800,786.41,857.02,776.16,849.89
-91963800,848.39,871.71,827.95,839.37
-89544600,843.49,883.41,835.3,865.98
-86693400,859.97,903.73,838.98,897.05
-84277800,892.93,915.87,850.39,852.56
-81599400,864.98,892.8,836.92,860.26
-78834600,859.69,918.69,853.21,904.24
-76329000,912.97,933.14,887.83,901.29
-73650600,901.18,951.57,894.19,926.66
-70972200,921,940.36,876.21,879.74
-68376600,867.08,894.88,839.4,875.81
-65784600,879.16,910.37,868.76,905.11
-63106200,906.84,921.87,850.5,855.47
-60427800,861.36,871.3,826.46,840.5
-57922200,840.44,854.25,817.61,840.67
-55243800,861.25,918.11,849.23,912.22
-52655400,913.2,935.68,885.53,899
-49804200,905.38,924.93,891.48,897.8
-47385000,896.35,933.83,876.99,883
-44706600,878.07,902.35,863.33,896.01
-41941800,900.36,945.86,892.59,935.79
-39436200,942.32,974.27,932.93,952.39
-36754200,948.41,989.56,936.54,985.08
-34075800,983.34,994.65,936.66,943.75
-31483800,947.73,960.16,915.53,946.05
-28632600,946.85,959.16,895.39,905.21
-26213400,908.63,941.38,895.76,935.48
-23707800,933.08,956.28,908.81,950.18
-21119400,949.22,974.92,928.58,937.56
-18354600,933.17,938.73,862.46,873.19
-15849000,875.9,893.87,788.07,815.47
-13170600,826.59,843.72,800.62,836.72
-10492200,837.78,845.96,804.45,813.09
-7900200,806.89,868,793.95,855.99
-5045400,854.54,871.77,800.36,812.3
-2626200,805.04,816.39,764.45,800.36
52200,809.2,819.23,739.11,744.06
2817000,744.06,784.19,738.78,777.59
5236200,777.59,803.26,757.99,785.57
7828200,785.57,798.84,716.74,736.07
10416600,736.07,740.76,627.46,700.44
13095000,700.44,728.23,674.9,683.53
