time,close
1070236800,0.98
1072915200,1
1075593600,1.01
1078099200,1
1080777600,1
1083369600,1
1086048000,1.03
1088640000,1.26
1091318400,1.43
1093996800,1.61
1096588800,1.76
1099267200,1.93
1101859200,2.16
1104537600,2.28
1107216000,2.5
1109635200,2.63
1112313600,2.79
1114905600,3
1117584000,3.04
1120176000,3.26
1122854400,3.5
1125532800,3.62
1128124800,3.78
1130803200,4
1133395200,4.16
1136073600,4.29
1138752000,4.49
1141171200,4.59
1143849600,4.79
1146441600,4.94
1149120000,4.99
1151712000,5.24
1154390400,5.25
1157068800,5.25
1159660800,5.25
1162339200,5.25
1164931200,5.24
1167609600,5.25
1170288000,5.26
1172707200,5.26
1175385600,5.25
1177977600,5.25
1180656000,5.25
1183248000,5.26
1185926400,5.02
1188604800,4.94
1191196800,4.76
1193875200,4.49
1196467200,4.24
1199145600,3.94
1201824000,2.98
1204329600,2.61
1207008000,2.28
1209600000,1.98
1212278400,2
1214870400,2.01
1217548800,2
1220227200,1.81
1222819200,0.97
1225497600,0.39
1228089600,0.16
1230768000,0.15
1233446400,0.22
1235865600,0.18
1238544000,0.15
1241136000,0.18
1243814400,0.21
1246406400,0.16
1249084800,0.16
1251763200,0.15
1254355200,0.12
1257033600,0.12
1259625600,0.12
1262304000,0.11
1264982400,0.13
1267401600,0.16
1270080000,0.2
1272672000,0.2
1275350400,0.18
1277942400,0.18
1280620800,0.19
1283299200,0.19
1285891200,0.19
1288569600,0.19
1291161600,0.18
1293840000,0.17
1296518400,0.16
1298937600,0.14
1301616000,0.1
1304208000,0.09
1306886400,0.09
1309478400,0.07
1312156800,0.1
1314835200,0.08
1317427200,0.07
1320105600,0.08
1322697600,0.07
1325376000,0.08
1328054400,0.1
1330560000,0.13
1333238400,0.14
1335830400,0.16
1338508800,0.16
1341100800,0.16
1343779200,0.13
1346457600,0.14
1349049600,0.16
1351728000,0.16
1354320000,0.16
1356998400,0.14
1359676800,0.15
1362096000,0.14
1364774400,0.15
1367366400,0.11
1370044800,0.09
1372636800,0.09
1375315200,0.08
1377993600,0.08
1380585600,0.09
1383264000,0.08
1385856000,0.09
1388534400,0.07
1391212800,0.07
1393632000,0.08
1396310400,0.09
1398902400,0.09
1401580800,0.1
1404172800,0.09
1406851200,0.09
1409529600,0.09
1412121600,0.09
1414800000,0.09
1417392000,0.12
1420070400,0.11
1422748800,0.11
1425168000,0.11
1427846400,0.12
1430438400,0.12
1433116800,0.13
1435708800,0.13
1438387200,0.14
1441065600,0.14
1443657600,0.12
1446336000,0.12
1448928000,0.24
1451606400,0.34
1454284800,0.38
1456790400,0.36
1459468800,0.37
1462060800,0.37
1464739200,0.38
1467331200,0.39
1470009600,0.4
1472688000,0.4
1475280000,0.4
1477958400,0.41
1480550400,0.54
1483228800,0.65
1485907200,0.66
1488326400,0.79
1491004800,0.9
1493596800,0.91
1496275200,1.04
1498867200,1.15
1501545600,1.16
1504224000,1.15
1506816000,1.15
1509494400,1.16
1512086400,1.3
1514764800,1.41
1517443200,1.42
1519862400,1.51
1522540800,1.69
1525132800,1.7
1527811200,1.82
1530403200,1.91
1533081600,1.91
1535760000,1.95
1538352000,2.19
1541030400,2.2
1543622400,2.27
1546300800,2.4
1548979200,2.4
1551398400,2.41
1554076800,2.42
1556668800,2.39
1559347200,2.38
1561939200,2.4
1564617600,2.13
1567296000,2.04
1569888000,1.83
1572566400,1.55
1575158400,1.55
1577836800,1.55
1580515200,1.58
1583020800,0.65
1585699200,0.05
1588291200,0.05
1590969600,0.08
1593561600,0.09
1596240000,0.1
1598918400,0.09
1601510400,0.09
1604188800,0.09
1606780800,0.09
1609459200,0.09
1612137600,0.08
1614556800,0.07
1617235200,0.07
1619827200,0.06
1622505600,0.08
1625097600,0.1
1627776000,0.09
1630454400,0.08
1633046400,0.08
1635724800,0.08
1638316800,0.08
1640995200,0.08
1643673600,0.08
1646092800,0.2
1648771200,0.33
1651363200,0.77
1654041600,1.21
1656633600,1.68
1659312000,2.33
1661990400,2.56
1664582400,3.08
1667260800,3.78
1669852800,4.1
1672531200,4.33
1675209600,4.57
1677628800,4.65
1680307200,4.83
1682899200,5.06
1685577600,5.08
1688169600,5.12
1690848000,5.33
1693526400,5.33
1696118400,5.33
1698796800,5.33
1701388800,5.33
1704067200,5.33
